PROCESS	PATTERN	QUERY	FILTERED_SENTENCE
acceleration	<process name> is the process of * through 	acceleration is the process of * through 	Acceleration is the process of moving through the curriculum more quickly.
acceleration	<process name> occurs due to *	acceleration occurs due to *	Instead, ion acceleration occurs due to the build up of electrostatic.
acceleration	<process name> occurs due to *	acceleration occurs due to *	Acceleration occurs due to the application of force to a mass (f=ma,...
acceleration	<process name> occurs due to *	acceleration occurs due to *	It is generally found that the maximum acceleration of the composite .... motion induced loads, excessive maximum acceleration occurs due to...
acceleration	<process name> occurs due to *	acceleration occurs due to *	Ominous acceleration occurs due to hypoxic sympathetic stimulation.
acceleration	<process name> occurs due to *	acceleration occurs due to *	The relaxation mechanism of the electron beam with return current is related to ... acceleration occurs due to electric field perpendicular to local magnetic field.
acceleration	<process name> occurs due to *	acceleration occurs due to *	Oct 24, 2014 ... US$160.2 mil gen rev rfdg bnds ser 2014 F due 08/01/2034 .... We believe that if acceleration occurs due to a covenant default, this 180-day...
acceleration	<process name> occurs due to *	acceleration occurs due to *	The acceleration occurs due to the radiation pressure of proper high power.
acceleration	<process name> occurs when *	acceleration occurs when *	Acceleration occurs when an object changes velocity.
acceleration	<process name> occurs when *	acceleration occurs when *	Gaining widespread attention, sudden unintended acceleration occurs when defective vehicle equipment causes the car to gain speed and be unresponsive to...
acceleration	<process name> occurs when *	acceleration occurs when *	Uniform acceleration occurs when the speed of an object changes at a constant rate.
acceleration	<process name> occurs when *	acceleration occurs when *	Uniform acceleration occurs when the change in velocity with respect to time is a constant.
acceleration	<process name> occurs when *	acceleration occurs when *	Thus, acceleration occurs when either the magnitude or direction of the velocity (or both) are...
acceleration	<process name> occurs when *	acceleration occurs when *	From this graph acceleration occurs when the distance vs time rises or decreases .
acceleration	<process name> occurs when *	acceleration occurs when *	This will lead us to a better understanding of how killer electrons are accelerated, why the acceleration occurs when it does, and how the particles fade away...
acceleration	<process name> occurs when *	acceleration occurs when *	In these regions, lateral acceleration occurs when vehicle speed is important (21 m/s).
acceleration	<process name> occurs when *	acceleration occurs when *	We have explained that a negative acceleration occurs when the velocity of an object gets reduced over a period of time.
acceleration	<process name> occurs when *	acceleration occurs when *	Acceleration occurs when there is a net force on an...
acceleration	<process name> occurs when *	acceleration occurs when *	Acceleration occurs when students move through traditional curriculum at rates faster than typical.
acceleration	<process name> occurs when *	acceleration occurs when *	Academic acceleration occurs when a student is not only doing the caliber of work...
